totalMinionsKilled,No,Yes,win_percentage
0,16,13,0.4482758620689655
1,2,5,0.7142857142857143
3,3,0,0.0
4,4,3,0.42857142857142855
5,3,4,0.5714285714285714
6,12,6,0.3333333333333333
7,9,11,0.55
8,17,13,0.43333333333333335
9,16,13,0.4482758620689655
10,18,18,0.5
11,16,11,0.4074074074074074
12,6,15,0.7142857142857143
13,16,9,0.36
14,10,10,0.5
15,15,4,0.21052631578947367
16,23,9,0.28125
17,12,14,0.5384615384615384
18,10,14,0.5833333333333334
19,21,12,0.36363636363636365
20,19,15,0.4411764705882353
21,28,22,0.44
22,38,20,0.3448275862068966
23,29,30,0.5084745762711864
24,44,41,0.4823529411764706
25,48,56,0.5384615384615384
26,51,55,0.5188679245283019
27,60,58,0.4915254237288136
28,54,57,0.5135135135135135
29,41,65,0.6132075471698113
30,51,61,0.5446428571428571
31,52,60,0.5357142857142857
32,51,52,0.5048543689320388
33,33,54,0.6206896551724138
34,34,37,0.5211267605633803
35,33,28,0.45901639344262296
36,32,24,0.42857142857142855
37,16,21,0.5675675675675675
38,14,22,0.6111111111111112
39,12,13,0.52
40,12,15,0.5555555555555556
41,5,2,0.2857142857142857
42,11,10,0.47619047619047616
43,5,3,0.375
44,2,6,0.75
45,3,5,0.625
46,5,3,0.375
48,3,1,0.25
49,3,1,0.25
50,2,2,0.5
