kill_count,No,Yes,win_percentage
9,24,1,0.04
10,19,0,0.0
11,25,0,0.0
12,18,1,0.05263157894736842
13,31,0,0.0
14,23,2,0.08
15,25,5,0.16666666666666666
16,30,5,0.14285714285714285
17,26,7,0.21212121212121213
18,39,10,0.20408163265306123
19,27,11,0.2894736842105263
20,34,11,0.24444444444444444
21,36,14,0.28
22,33,10,0.23255813953488372
23,34,17,0.3333333333333333
24,35,19,0.35185185185185186
25,22,19,0.4634146341463415
26,26,14,0.35
27,26,26,0.5
28,23,25,0.5208333333333334
29,30,28,0.4827586206896552
30,32,31,0.49206349206349204
31,17,27,0.6136363636363636
32,24,31,0.5636363636363636
33,23,32,0.5818181818181818
34,14,40,0.7407407407407407
35,21,46,0.6865671641791045
36,19,41,0.6833333333333333
37,13,23,0.6388888888888888
38,15,38,0.7169811320754716
39,9,31,0.775
40,12,34,0.7391304347826086
41,13,27,0.675
42,12,38,0.76
43,13,25,0.6578947368421053
44,9,32,0.7804878048780488
45,12,26,0.6842105263157895
46,11,23,0.6764705882352942
47,8,24,0.75
48,4,22,0.8461538461538461
49,10,25,0.7142857142857143
50,5,11,0.6875
51,6,18,0.75
52,9,21,0.7
53,5,13,0.7222222222222222
58,2,14,0.875
